3,27490,143905,21061,27490,126340,143905,128,40,0,242073600,304087040
7,35827,198141,20609,35827,125539,198141,128,40,0,261874688,325058560
0,33784,135226,21448,33784,93232,135226,128,40,0,256860160,310378496
6,47571,212122,21470,47571,109046,212122,128,40,0,300887552,356515840
2,31181,118551,20611,31181,93495,118551,128,40,0,245880320,322961408
1,25556,91581,20782,25556,81638,91581,128,40,0,230444544,281018368
4,57555,447834,21802,57555,215779,447834,128,40,0,346079232,402653184
5,43348,326555,21560,43348,152188,326555,128,40,0,297237504,343932928

6,583632,14776286,297214,583632,10913960,14776286,100,45,0,4463105536,5597298688
5,432519,13329470,314160,432519,11616946,13329470,100,45,0,4110909952,4697620480
2,460561,14120526,299150,460561,12113402,14120526,100,45,0,4140335616,4643094528
0,622676,22322993,315319,622676,16520851,22322993,100,46,0,5299501056,6266290176
3,522651,20231218,315326,522651,17210426,20231218,100,45,0,4933172736,5660213248
4,464954,13701627,297197,464954,12224203,13701627,100,47,0,4126995968,4620025856
7,454709,18240191,297987,454709,15802525,18240191,100,46,0,4486678528,5133828096
1,577523,21712390,312676,577523,17497092,21712390,100,46,0,5148146688,6249512960

4,165893,1182137,87201,165893,598005,1182137,300,2.0,0,1314124288,1751121920
6,204268,1853935,90123,204268,930701,1853935,300,2.0,0,1467094016,1939865600
7,178712,1834803,88601,178712,1098149,1834803,300,2.0,0,1402931712,1715470336
2,192920,1407709,86993,192920,697851,1407709,300,2.0,0,1381262336,1797259264
1,190418,2105561,87133,190418,1155419,2105561,300,2.0,0,1424722432,1864368128
3,227523,3747621,92293,227523,1560873,3747621,300,2.0,0,1660632064,2187329536
0,249561,2593437,92213,249561,1045227,2593437,300,2.0,0,1644418048,2174746624
5,231730,4158784,92290,231730,1939426,4158784,300,2.0,0,1706909696,2204106752

1,99987,11847891,28883,99987,7434465,11847891,602,41,0,1670469632,1975517184
3,151427,20444708,29412,151427,10702614,20444708,602,41,0,2520031744,3338665984
4,132151,14150326,29524,132151,6661740,14150326,602,41,0,1989144064,2181038080
2,101291,13797076,28398,101291,9764432,13797076,602,41,0,1831646720,2172649472
5,80440,13226578,28508,80440,10998312,13226578,602,41,0,1686017536,2191523840
0,63216,12268221,28271,63216,8591161,12268221,602,41,0,1479968256,1738539008
6,162869,24706771,29995,162869,10336295,24706771,602,41,0,2850945536,3619684352
7,150489,33777076,29974,150489,20990048,33777076,602,41,0,3594509824,4393533440

5,43348,326555,21560,43348,152188,326555,256,40,0,331335168,385875968
6,47571,212122,21470,47571,109046,212122,256,40,0,335811072,387973120
4,57555,447834,21802,57555,215779,447834,256,40,0,390759424,436207616
7,35827,198141,20609,35827,125539,198141,256,40,0,290599936,339738624
0,33784,135226,21448,33784,93232,135226,256,40,0,282770944,356515840
2,31181,118551,20611,31181,93495,118551,256,40,0,269456384,341835776
1,25556,91581,20782,25556,81638,91581,256,40,0,249248256,331350016
3,27490,143905,21061,27490,126340,143905,256,40,0,263518208,327155712

